name,bus,site,technology,expand_capacity,c0_USD,c1_USDperMWh,c2_USDperMWh2,cap_existing_power_MW,cap_max_power_MW,cost_fixed_power_USDperkW,cost_variable_USDperMWh
cats_32,1489,no_capacity_factor,conventional hydroelectric,FALSE,46.4995731,14.8788144,0.059172355,67.2,67.2,0,0
cats_33,1498,no_capacity_factor,conventional hydroelectric,FALSE,161.930945,14.8788141,0.017017665,714,714,0,0
cats_34,1500,no_capacity_factor,conventional hydroelectric,FALSE,73.1903316,14.8788144,0.037223309,15.3,15.3,0,0
cats_35,1502,no_capacity_factor,conventional hydroelectric,FALSE,26.2074855,14.8788144,0.104841048,6,6,0,0
cats_36,1528,no_capacity_factor,conventional hydroelectric,FALSE,37.2572181,14.8788144,0.073726559,33,33,0,0
cats_37,1572,no_capacity_factor,conventional hydroelectric,FALSE,32.2246755,14.8788144,0.084603464,29.9,29.9,0,0
cats_38,158,no_capacity_factor,conventional hydroelectric,FALSE,32.0494007,14.8788144,0.085772205,5,5,0,0
cats_39,1580,no_capacity_factor,conventional hydroelectric,FALSE,46.4995731,14.8788144,0.059172355,6.1,6.1,0,0
cats_40,1582,no_capacity_factor,conventional hydroelectric,FALSE,46.4995731,14.8788144,0.059172355,12.1,12.1,0,0
cats_41,1584,no_capacity_factor,conventional hydroelectric,FALSE,82.9372199,14.8788144,0.032880744,74.1,74.1,0,0
cats_42,1585,no_capacity_factor,conventional hydroelectric,FALSE,28.5667366,14.8788144,0.098441376,25.5,25.5,0,0
cats_43,1586,no_capacity_factor,conventional hydroelectric,FALSE,87.6069929,14.8788144,0.03131569,157.8,157.8,0,0
cats_44,1586,no_capacity_factor,conventional hydroelectric,FALSE,90.9183037,14.8788144,0.029785941,161.6,161.6,0,0
cats_45,1587,no_capacity_factor,conventional hydroelectric,FALSE,34.6467874,14.8788144,0.078724432,1.4,1.4,0,0
cats_46,1593,no_capacity_factor,conventional hydroelectric,FALSE,46.4995731,14.8788144,0.059172355,29.9,29.9,0,0
cats_47,1602,no_capacity_factor,conventional hydroelectric,FALSE,46.4995731,14.8788144,0.059172355,11.3,11.3,0,0
cats_48,1606,no_capacity_factor,conventional hydroelectric,FALSE,46.4995731,14.8788144,0.059172355,37.5,37.5,0,0
cats_49,1606,no_capacity_factor,conventional hydroelectric,FALSE,42.0372347,14.8788144,0.065976133,37.5,37.5,0,0
cats_50,1606,no_capacity_factor,conventional hydroelectric,FALSE,42.121352,14.8788144,0.065687132,37.5,37.5,0,0
cats_51,1629,no_capacity_factor,conventional hydroelectric,FALSE,32.0494007,14.8788144,0.085772205,8.2,8.2,0,0
cats_52,1631,no_capacity_factor,conventional hydroelectric,FALSE,32.0494007,14.8788144,0.085772205,7.3,7.3,0,0
cats_53,1632,no_capacity_factor,conventional hydroelectric,FALSE,73.1903316,14.8788144,0.037223309,66.6,66.6,0,0
cats_54,1633,no_capacity_factor,conventional hydroelectric,FALSE,46.4995731,14.8788144,0.059172355,88.4,88.4,0,0
cats_55,1633,no_capacity_factor,conventional hydroelectric,FALSE,46.4995731,14.8788144,0.059172355,10.8,10.8,0,0
cats_56,1634,no_capacity_factor,conventional hydroelectric,FALSE,46.4995731,14.8788144,0.059172355,31,31,0,0
cats_57,1634,no_capacity_factor,conventional hydroelectric,FALSE,46.4995731,14.8788144,0.059172355,97.2,97.2,0,0
cats_58,1634,no_capacity_factor,conventional hydroelectric,FALSE,75.8585367,14.8788144,0.036962208,135,135,0,0
cats_59,1634,no_capacity_factor,conventional hydroelectric,FALSE,46.4995731,14.8788144,0.059172355,48.6,48.6,0,0
cats_60,1635,no_capacity_factor,conventional hydroelectric,FALSE,32.3543419,14.8788144,0.084180748,30,30,0,0
cats_61,1636,no_capacity_factor,conventional hydroelectric,FALSE,105.8405,14.8788144,0.025798991,190,190,0,0
cats_62,1639,no_capacity_factor,conventional hydroelectric,FALSE,32.0494007,14.8788144,0.085772205,3.2,3.2,0,0
cats_63,164,no_capacity_factor,conventional hydroelectric,FALSE,34.6467874,14.8788144,0.078724432,1.5,1.5,0,0
cats_64,1643,no_capacity_factor,conventional hydroelectric,FALSE,46.4995731,14.8788144,0.059172355,12.8,12.8,0,0
cats_65,1643,no_capacity_factor,conventional hydroelectric,FALSE,46.4995731,14.8788144,0.059172355,100,100,0,0
cats_66,1644,no_capacity_factor,conventional hydroelectric,FALSE,46.4995731,14.8788144,0.059172355,2.8,2.8,0,0
cats_67,1644,no_capacity_factor,conventional hydroelectric,FALSE,37.8341532,14.8788144,0.071691417,140.5,140.5,0,0
cats_68,1645,no_capacity_factor,conventional hydroelectric,FALSE,155.128416,14.878814,0.017626567,139.5,139.5,0,0
cats_69,1646,no_capacity_factor,conventional hydroelectric,FALSE,62.8694967,14.8788144,0.04471446,165,165,0,0
cats_70,166,no_capacity_factor,conventional hydroelectric,FALSE,34.6467874,14.8788144,0.078724432,1.3,1.3,0,0
cats_71,1662,no_capacity_factor,conventional hydroelectric,FALSE,29.1025112,14.8788144,0.092849808,26.4,26.4,0,0
cats_72,1663,no_capacity_factor,conventional hydroelectric,FALSE,23.7075931,14.8788144,0.114946484,40.3,40.3,0,0
cats_73,1718,no_capacity_factor,conventional hydroelectric,FALSE,36.540858,14.8788144,0.074347899,19.6,19.6,0,0
cats_74,1719,no_capacity_factor,conventional hydroelectric,FALSE,26.2074855,14.8788144,0.104841048,9.2,9.2,0,0
cats_75,1720,no_capacity_factor,conventional hydroelectric,FALSE,34.6467874,14.8788144,0.078724432,4.4,4.4,0,0
cats_76,1722,no_capacity_factor,conventional hydroelectric,FALSE,32.0494007,14.8788144,0.085772205,4,4,0,0
cats_77,1723,no_capacity_factor,conventional hydroelectric,FALSE,23.3042834,14.8788144,0.116141127,18,18,0,0
cats_78,1724,no_capacity_factor,conventional hydroelectric,FALSE,22.8253546,14.8788144,0.116989623,20,20,0,0
cats_79,1727,no_capacity_factor,conventional hydroelectric,FALSE,46.4995731,14.8788144,0.059172355,80.1,80.1,0,0
cats_80,1727,no_capacity_factor,conventional hydroelectric,FALSE,58.4255407,14.8788144,0.046889973,103.4,103.4,0,0
cats_81,1727,no_capacity_factor,conventional hydroelectric,FALSE,34.6467874,14.8788144,0.078724432,1.2,1.2,0,0
cats_82,1728,no_capacity_factor,conventional hydroelectric,FALSE,93.6100229,14.8788144,0.028656809,168.6,168.6,0,0
cats_83,1729,no_capacity_factor,conventional hydroelectric,FALSE,44.2065545,14.8788144,0.061662881,79.2,79.2,0,0
cats_84,1729,no_capacity_factor,conventional hydroelectric,FALSE,46.4995731,14.8788144,0.059172355,2,2,0,0
cats_85,1730,no_capacity_factor,conventional hydroelectric,FALSE,42.9634433,14.8788144,0.064820939,141.6,141.6,0,0
cats_86,1731,no_capacity_factor,conventional hydroelectric,FALSE,78.1222241,14.8788144,0.035001326,140,140,0,0
cats_87,1732,no_capacity_factor,conventional hydroelectric,FALSE,26.2074855,14.8788144,0.104841048,3.5,3.5,0,0
cats_88,1733,no_capacity_factor,conventional hydroelectric,FALSE,85.3716495,14.8788144,0.03204634,154.4,154.4,0,0
cats_89,1734,no_capacity_factor,conventional hydroelectric,FALSE,26.2074855,14.8788144,0.104841048,5,5,0,0
cats_90,1735,no_capacity_factor,conventional hydroelectric,FALSE,34.6467874,14.8788144,0.078724432,1.4,1.4,0,0
cats_91,1735,no_capacity_factor,conventional hydroelectric,FALSE,26.2074855,14.8788144,0.104841048,3.2,3.2,0,0
cats_92,1742,no_capacity_factor,conventional hydroelectric,FALSE,100.442859,14.8788144,0.027223253,180,180,0,0
cats_93,1743,no_capacity_factor,conventional hydroelectric,FALSE,46.4995731,14.8788144,0.059172355,12.1,12.1,0,0
cats_94,1745,no_capacity_factor,conventional hydroelectric,FALSE,34.6467874,14.8788144,0.078724432,1,1,0,0
cats_95,1745,no_capacity_factor,conventional hydroelectric,FALSE,26.2074855,14.8788144,0.104841048,6.7,6.7,0,0
cats_96,1745,no_capacity_factor,conventional hydroelectric,FALSE,34.6467874,14.8788144,0.078724432,1.1,1.1,0,0
cats_97,1748,no_capacity_factor,conventional hydroelectric,FALSE,44.2781598,14.8788144,0.061429747,40,40,0,0
cats_98,1755,no_capacity_factor,conventional hydroelectric,FALSE,46.4995731,14.8788144,0.059172355,16.4,16.4,0,0
cats_99,1786,no_capacity_factor,conventional hydroelectric,FALSE,26.2074855,14.8788144,0.104841048,10.8,10.8,0,0
cats_100,1841,no_capacity_factor,conventional hydroelectric,FALSE,36.540858,14.8788144,0.074347899,32.7,32.7,0,0
cats_101,1843,no_capacity_factor,conventional hydroelectric,FALSE,46.4995731,14.8788144,0.059172355,3.1,3.1,0,0
cats_102,1845,no_capacity_factor,conventional hydroelectric,FALSE,34.6467874,14.8788144,0.078724432,3,3,0,0
cats_103,1863,no_capacity_factor,conventional hydroelectric,FALSE,26.2074855,14.8788144,0.104841048,4.9,4.9,0,0
cats_104,1875,no_capacity_factor,conventional hydroelectric,FALSE,32.0494007,14.8788144,0.085772205,29.7,29.7,0,0
cats_105,1884,no_capacity_factor,conventional hydroelectric,FALSE,46.4995731,14.8788144,0.059172355,7.2,7.2,0,0
cats_106,1887,no_capacity_factor,conventional hydroelectric,FALSE,81.3561358,14.8788144,0.033307845,72,72,0,0
cats_107,1887,no_capacity_factor,conventional hydroelectric,FALSE,32.0494007,14.8788144,0.085772205,5.9,5.9,0,0
cats_108,1888,no_capacity_factor,conventional hydroelectric,FALSE,36.540858,14.8788144,0.074347899,10,10,0,0
cats_109,1889,no_capacity_factor,conventional hydroelectric,FALSE,37.2572181,14.8788144,0.073726559,16.2,16.2,0,0
cats_110,1890,no_capacity_factor,conventional hydroelectric,FALSE,92.597236,14.8788144,0.029100238,81.9,81.9,0,0
cats_111,1890,no_capacity_factor,conventional hydroelectric,FALSE,46.4995731,14.8788144,0.059172355,253,253,0,0
cats_112,1891,no_capacity_factor,conventional hydroelectric,FALSE,46.4995731,14.8788144,0.059172355,100,100,0,0
cats_113,1891,no_capacity_factor,conventional hydroelectric,FALSE,51.301513,14.8788144,0.053280064,170.8,170.8,0,0
cats_114,1891,no_capacity_factor,conventional hydroelectric,FALSE,46.4995731,14.8788144,0.059172355,4.5,4.5,0,0
cats_115,194,no_capacity_factor,conventional hydroelectric,FALSE,26.2074855,14.8788144,0.104841048,10,10,0,0
cats_116,195,no_capacity_factor,conventional hydroelectric,FALSE,26.2074855,14.8788144,0.104841048,5.7,5.7,0,0
cats_117,1955,no_capacity_factor,conventional hydroelectric,FALSE,32.0494007,14.8788144,0.085772205,2.9,2.9,0,0
cats_118,1958,no_capacity_factor,conventional hydroelectric,FALSE,46.4995731,14.8788144,0.059172355,13.6,13.6,0,0
cats_119,2056,no_capacity_factor,conventional hydroelectric,FALSE,26.2074855,14.8788144,0.104841048,1.9,1.9,0,0
cats_120,206,no_capacity_factor,conventional hydroelectric,FALSE,32.0494007,14.8788144,0.085772205,2.4,2.4,0,0
cats_121,212,no_capacity_factor,conventional hydroelectric,FALSE,46.4995731,14.8788144,0.059172355,3.2,3.2,0,0
cats_122,2220,no_capacity_factor,conventional hydroelectric,FALSE,36.8238805,14.8788144,0.073985797,33,33,0,0
cats_123,2220,no_capacity_factor,conventional hydroelectric,FALSE,46.4995731,14.8788144,0.059172355,73.8,73.8,0,0
cats_124,2220,no_capacity_factor,conventional hydroelectric,FALSE,70.2258381,14.8788144,0.038074342,126,126,0,0
cats_125,2221,no_capacity_factor,conventional hydroelectric,FALSE,26.2074855,14.8788144,0.104841048,6.1,6.1,0,0
cats_126,2221,no_capacity_factor,conventional hydroelectric,FALSE,88.8056399,14.8788144,0.030784033,79.2,79.2,0,0
cats_127,2237,no_capacity_factor,conventional hydroelectric,FALSE,26.2074855,14.8788144,0.104841048,23.6,23.6,0,0
cats_128,2247,no_capacity_factor,conventional hydroelectric,FALSE,34.6467874,14.8788144,0.078724432,1.6,1.6,0,0
cats_129,2248,no_capacity_factor,conventional hydroelectric,FALSE,155.128416,14.878814,0.017626567,300,300,0,0
cats_130,2312,no_capacity_factor,conventional hydroelectric,FALSE,34.6467874,14.8788144,0.078724432,4.5,4.5,0,0
cats_131,2313,no_capacity_factor,conventional hydroelectric,FALSE,34.6467874,14.8788144,0.078724432,2.3,2.3,0,0
cats_132,2339,no_capacity_factor,conventional hydroelectric,FALSE,26.2074855,14.8788144,0.104841048,13.4,13.4,0,0
cats_133,2361,no_capacity_factor,conventional hydroelectric,FALSE,26.2074855,14.8788144,0.104841048,13.1,13.1,0,0
cats_134,284,no_capacity_factor,conventional hydroelectric,FALSE,23.3042834,14.8788144,0.116141127,19.6,19.6,0,0
cats_135,300,no_capacity_factor,conventional hydroelectric,FALSE,26.2074855,14.8788144,0.104841048,11.8,11.8,0,0
cats_136,32,no_capacity_factor,conventional hydroelectric,FALSE,46.4995731,14.8788144,0.059172355,42,42,0,0
cats_137,333,no_capacity_factor,conventional hydroelectric,FALSE,34.6467874,14.8788144,0.078724432,1.1,1.1,0,0
cats_138,333,no_capacity_factor,conventional hydroelectric,FALSE,26.2074855,14.8788144,0.104841048,1.8,1.8,0,0
cats_139,367,no_capacity_factor,conventional hydroelectric,FALSE,26.2074855,14.8788144,0.104841048,5,5,0,0
cats_140,420,no_capacity_factor,conventional hydroelectric,FALSE,46.4995731,14.8788144,0.059172355,18,18,0,0
cats_141,49,no_capacity_factor,conventional hydroelectric,FALSE,26.2074855,14.8788144,0.104841048,3.4,3.4,0,0
cats_142,50,no_capacity_factor,conventional hydroelectric,FALSE,46.4995731,14.8788144,0.059172355,18.4,18.4,0,0
cats_143,50,no_capacity_factor,conventional hydroelectric,FALSE,46.4995731,14.8788144,0.059172355,142.8,142.8,0,0
cats_144,50,no_capacity_factor,conventional hydroelectric,FALSE,46.4995731,14.8788144,0.059172355,1.8,1.8,0,0
cats_145,50,no_capacity_factor,conventional hydroelectric,FALSE,46.4995731,14.8788144,0.059172355,14.5,14.5,0,0
cats_146,526,no_capacity_factor,conventional hydroelectric,FALSE,46.4995731,14.8788144,0.059172355,65.5,65.5,0,0
cats_147,529,no_capacity_factor,conventional hydroelectric,FALSE,36.540858,14.8788144,0.074347899,9.9,9.9,0,0
cats_148,557,no_capacity_factor,conventional hydroelectric,FALSE,41.9311323,14.8788144,0.066690076,74.2,74.2,0,0
cats_149,577,no_capacity_factor,conventional hydroelectric,FALSE,46.4995731,14.8788144,0.059172355,2.1,2.1,0,0
cats_150,597,no_capacity_factor,conventional hydroelectric,FALSE,46.4995731,14.8788144,0.059172355,3.5,3.5,0,0
cats_151,60,no_capacity_factor,conventional hydroelectric,FALSE,26.2074855,14.8788144,0.104841048,3.6,3.6,0,0
cats_152,615,no_capacity_factor,conventional hydroelectric,FALSE,26.2074855,14.8788144,0.104841048,3.4,3.4,0,0
cats_153,615,no_capacity_factor,conventional hydroelectric,FALSE,46.4995731,14.8788144,0.059172355,94.5,94.5,0,0
cats_154,615,no_capacity_factor,conventional hydroelectric,FALSE,36.540858,14.8788144,0.074347899,9,9,0,0
cats_155,615,no_capacity_factor,conventional hydroelectric,FALSE,46.4995731,14.8788144,0.059172355,2.7,2.7,0,0
cats_156,629,no_capacity_factor,conventional hydroelectric,FALSE,46.4995731,14.8788144,0.059172355,3,3,0,0
cats_157,653,no_capacity_factor,conventional hydroelectric,FALSE,46.4995731,14.8788144,0.059172355,4.4,4.4,0,0
cats_158,662,no_capacity_factor,conventional hydroelectric,FALSE,34.6467874,14.8788144,0.078724432,1,1,0,0
cats_159,664,no_capacity_factor,conventional hydroelectric,FALSE,46.4995731,14.8788144,0.059172355,10.2,10.2,0,0
cats_160,664,no_capacity_factor,conventional hydroelectric,FALSE,46.4995731,14.8788144,0.059172355,46.7,46.7,0,0
cats_161,707,no_capacity_factor,conventional hydroelectric,FALSE,26.2074855,14.8788144,0.104841048,4.1,4.1,0,0
cats_162,707,no_capacity_factor,conventional hydroelectric,FALSE,26.2074855,14.8788144,0.104841048,5.1,5.1,0,0
cats_163,744,no_capacity_factor,conventional hydroelectric,FALSE,34.6467874,14.8788144,0.078724432,1,1,0,0
cats_164,744,no_capacity_factor,conventional hydroelectric,FALSE,24.5526988,14.8788144,0.111,22,22,0,0
cats_165,744,no_capacity_factor,conventional hydroelectric,FALSE,29.5543926,14.8788144,0.090757177,27.3,27.3,0,0
cats_166,745,no_capacity_factor,conventional hydroelectric,FALSE,46.4995731,14.8788144,0.059172355,12.1,12.1,0,0
cats_167,745,no_capacity_factor,conventional hydroelectric,FALSE,49.0465723,14.8788144,0.056991158,44,44,0,0
cats_168,746,no_capacity_factor,conventional hydroelectric,FALSE,26.2074855,14.8788144,0.104841048,7,7,0,0
cats_169,746,no_capacity_factor,conventional hydroelectric,FALSE,26.2074855,14.8788144,0.104841048,3.7,3.7,0,0
cats_170,746,no_capacity_factor,conventional hydroelectric,FALSE,26.2074855,14.8788144,0.104841048,6.6,6.6,0,0
cats_171,746,no_capacity_factor,conventional hydroelectric,FALSE,46.4995731,14.8788144,0.059172355,3.6,3.6,0,0
cats_172,749,no_capacity_factor,conventional hydroelectric,FALSE,46.4995731,14.8788144,0.059172355,13.6,13.6,0,0
cats_173,749,no_capacity_factor,conventional hydroelectric,FALSE,46.4995731,14.8788144,0.059172355,1.5,1.5,0,0
cats_174,7778,no_capacity_factor,conventional hydroelectric,FALSE,36.1349397,14.8788144,0.075886016,102.5,102.5,0,0
cats_175,799,no_capacity_factor,conventional hydroelectric,FALSE,32.0494007,14.8788144,0.085772205,2.9,2.9,0,0
cats_176,8022,no_capacity_factor,conventional hydroelectric,FALSE,138.645776,14.8788144,0.019693715,117.9,117.9,0,0
cats_177,8028,no_capacity_factor,conventional hydroelectric,FALSE,46.4995731,14.8788144,0.059172355,3,3,0,0
cats_178,8064,no_capacity_factor,conventional hydroelectric,FALSE,29.439354,14.8788144,0.091189607,27,27,0,0
cats_179,8064,no_capacity_factor,conventional hydroelectric,FALSE,34.6467874,14.8788144,0.078724432,2.1,2.1,0,0
cats_180,8169,no_capacity_factor,conventional hydroelectric,FALSE,46.4995731,14.8788144,0.059172355,3,3,0,0
cats_181,8215,no_capacity_factor,conventional hydroelectric,FALSE,43.3743652,14.8788144,0.063784217,38.6,38.6,0,0
cats_182,8381,no_capacity_factor,conventional hydroelectric,FALSE,26.2074855,14.8788144,0.104841048,8.4,8.4,0,0
cats_183,8400,no_capacity_factor,conventional hydroelectric,FALSE,36.540858,14.8788144,0.074347899,10,10,0,0
cats_184,8400,no_capacity_factor,conventional hydroelectric,FALSE,138.607558,14.8788144,0.019728908,351,351,0,0
cats_185,8414,no_capacity_factor,conventional hydroelectric,FALSE,43.6847716,14.8788144,0.062660025,117,117,0,0
cats_186,8427,no_capacity_factor,conventional hydroelectric,FALSE,36.540858,14.8788144,0.074347899,10,10,0,0
cats_187,8505,no_capacity_factor,conventional hydroelectric,FALSE,46.4995731,14.8788144,0.059172355,32.6,32.6,0,0
cats_188,8542,no_capacity_factor,conventional hydroelectric,FALSE,26.4292728,14.8788144,0.102178348,73.8,73.8,0,0
cats_189,8542,no_capacity_factor,conventional hydroelectric,FALSE,68.1855659,14.8788144,0.04009894,117.9,117.9,0,0
cats_190,8553,no_capacity_factor,conventional hydroelectric,FALSE,38.3182174,14.8788144,0.071284546,69.2,69.2,0,0
cats_191,8565,no_capacity_factor,conventional hydroelectric,FALSE,68.564689,14.8788144,0.039773988,122.4,122.4,0,0
cats_192,8578,no_capacity_factor,conventional hydroelectric,FALSE,46.4995731,14.8788144,0.059172355,5.5,5.5,0,0
cats_193,8578,no_capacity_factor,conventional hydroelectric,FALSE,55.0498039,14.8788144,0.049901925,49.2,49.2,0,0
cats_194,8578,no_capacity_factor,conventional hydroelectric,FALSE,46.4995731,14.8788144,0.059172355,53.1,53.1,0,0
cats_195,8623,no_capacity_factor,conventional hydroelectric,FALSE,28.3536743,14.8788144,0.099944554,52.2,52.2,0,0
cats_196,8671,no_capacity_factor,conventional hydroelectric,FALSE,175.969304,14.8788144,0.015244051,315,315,0,0
cats_197,8684,no_capacity_factor,conventional hydroelectric,FALSE,72.9724513,14.8788144,0.037296381,198.6,198.6,0,0
cats_198,8703,no_capacity_factor,conventional hydroelectric,FALSE,46.4995731,14.8788144,0.059172355,109.8,109.8,0,0
cats_199,8703,no_capacity_factor,conventional hydroelectric,FALSE,46.4995731,14.8788144,0.059172355,5,5,0,0
cats_200,8703,no_capacity_factor,conventional hydroelectric,FALSE,46.4995731,14.8788144,0.059172355,6.8,6.8,0,0
cats_201,8703,no_capacity_factor,conventional hydroelectric,FALSE,46.4995731,14.8788144,0.059172355,2.6,2.6,0,0
cats_202,8724,no_capacity_factor,conventional hydroelectric,FALSE,32.4200547,14.8788144,0.084144494,120,120,0,0
cats_203,8832,no_capacity_factor,conventional hydroelectric,FALSE,36.540858,14.8788144,0.074347899,8.8,8.8,0,0
cats_204,8832,no_capacity_factor,conventional hydroelectric,FALSE,32.0494007,14.8788144,0.085772205,2.8,2.8,0,0
cats_205,99,no_capacity_factor,conventional hydroelectric,FALSE,46.4995731,14.8788144,0.059172355,8.3,8.3,0,0
cats_206,99,no_capacity_factor,conventional hydroelectric,FALSE,46.4995731,14.8788144,0.059172355,268.7,268.7,0,0
cats_207,99,no_capacity_factor,conventional hydroelectric,FALSE,46.4995731,14.8788144,0.059172355,3,3,0,0
cats_208,990,no_capacity_factor,conventional hydroelectric,FALSE,34.6467874,14.8788144,0.078724432,3,3,0,0
cats_209,1019,no_capacity_factor,conventional steam coal,FALSE,79.9977839,16.01,0.03994707,55,55,0,133.83816
cats_210,1620,no_capacity_factor,geothermal,FALSE,0,0,0,15,15,0,0
cats_211,1620,no_capacity_factor,geothermal,FALSE,0,0,0,15,15,0,0
cats_212,1621,no_capacity_factor,geothermal,FALSE,0,0,0,10,10,0,0
cats_213,1621,no_capacity_factor,geothermal,FALSE,0,0,0,44.4,44.4,0,0
cats_214,1656,no_capacity_factor,geothermal,FALSE,0,0,0,92.2,92.2,0,0
cats_215,1657,no_capacity_factor,geothermal,FALSE,0,0,0,90,90,0,0
cats_216,1659,no_capacity_factor,geothermal,FALSE,0,0,0,90,90,0,0
cats_217,1706,no_capacity_factor,geothermal,FALSE,0,0,0,10,10,0,0
cats_218,1706,no_capacity_factor,geothermal,FALSE,0,0,0,20,20,0,0
cats_219,1707,no_capacity_factor,geothermal,FALSE,0,0,0,47.5,47.5,0,0
cats_220,1708,no_capacity_factor,geothermal,FALSE,0,0,0,53.9,53.9,0,0
cats_221,1709,no_capacity_factor,geothermal,FALSE,0,0,0,39.6,39.6,0,0
cats_222,1710,no_capacity_factor,geothermal,FALSE,0,0,0,45.5,45.5,0,0
cats_223,1711,no_capacity_factor,geothermal,FALSE,0,0,0,45.5,45.5,0,0
cats_224,1712,no_capacity_factor,geothermal,FALSE,0,0,0,45.5,45.5,0,0
cats_225,1721,no_capacity_factor,geothermal,FALSE,0,0,0,81.5,81.5,0,0
cats_226,1760,no_capacity_factor,geothermal,FALSE,0,0,0,1163,1163,0,0
cats_227,1760,no_capacity_factor,geothermal,FALSE,0,0,0,78,78,0,0
cats_228,1760,no_capacity_factor,geothermal,FALSE,0,0,0,176.4,176.4,0,0
cats_229,1762,no_capacity_factor,geothermal,FALSE,0,0,0,110,110,0,0
cats_230,1762,no_capacity_factor,geothermal,FALSE,0,0,0,55,55,0,0
cats_231,181,no_capacity_factor,geothermal,FALSE,0,0,0,80,80,0,0
cats_232,2044,no_capacity_factor,geothermal,FALSE,0,0,0,58.3,58.3,0,0
cats_233,2332,no_capacity_factor,geothermal,FALSE,0,0,0,11.5,11.5,0,0
cats_234,2405,no_capacity_factor,geothermal,FALSE,0,0,0,55,55,0,0
cats_235,8303,no_capacity_factor,geothermal,FALSE,0,0,0,74.5,74.5,0,0
cats_236,8376,no_capacity_factor,geothermal,FALSE,0,0,0,25,25,0,0
cats_237,1293,no_capacity_factor,import nw,FALSE,0,31.4,0,200,200,0,31.4
