name,bus_type,base_voltage_kV,base_power_MVA
128,PQ,66.0,100.0
129,PQ,66.0,100.0
130,PQ,66.0,100.0
131,PV,66.0,100.0
132,PQ,66.0,100.0
133,PQ,66.0,100.0
134,PQ,66.0,100.0
135,PQ,115.0,100.0
136,PQ,230.0,100.0
137,PV,66.0,100.0
138,PV,66.0,100.0
139,PQ,66.0,100.0
140,PQ,66.0,100.0
141,PQ,115.0,100.0
142,PQ,115.0,100.0
143,PQ,66.0,100.0
144,PQ,66.0,100.0
145,PV,66.0,100.0
146,PQ,66.0,100.0
147,PQ,115.0,100.0
148,PQ,66.0,100.0
149,PV,66.0,100.0
150,PQ,115.0,100.0
151,PQ,66.0,100.0
152,PQ,66.0,100.0
153,PQ,66.0,100.0
154,PQ,230.0,100.0
155,PV,66.0,100.0
156,PQ,66.0,100.0
157,PQ,66.0,100.0
158,PV,66.0,100.0
159,PV,66.0,100.0
160,PQ,66.0,100.0
161,PQ,66.0,100.0
162,PQ,66.0,100.0
163,PQ,66.0,100.0
164,PV,115.0,100.0
165,PV,66.0,100.0
166,PV,66.0,100.0
167,PQ,66.0,100.0
168,PQ,66.0,100.0
169,PQ,66.0,100.0
170,PV,66.0,100.0
171,PQ,66.0,100.0
172,PQ,66.0,100.0
173,PQ,66.0,100.0
174,PQ,230.0,100.0
175,PV,66.0,100.0
176,PQ,66.0,100.0
177,PQ,66.0,100.0
178,PQ,66.0,100.0
179,PQ,66.0,100.0
180,PQ,66.0,100.0
181,PV,115.0,100.0
182,PV,115.0,100.0
183,PQ,66.0,100.0
184,PQ,115.0,100.0
185,PQ,115.0,100.0
186,PQ,66.0,100.0
187,PQ,115.0,100.0
188,PQ,115.0,100.0
189,PQ,115.0,100.0
190,PQ,115.0,100.0
191,PQ,115.0,100.0
192,PV,66.0,100.0
193,PQ,66.0,100.0
194,PV,115.0,100.0
195,PV,66.0,100.0
196,PQ,115.0,100.0
197,PQ,115.0,100.0
198,PV,115.0,100.0
199,PQ,66.0,100.0
200,PV,66.0,100.0
201,PQ,66.0,100.0
202,PQ,115.0,100.0
203,PQ,115.0,100.0
204,PV,66.0,100.0
205,PQ,115.0,100.0
206,PV,66.0,100.0
207,PV,66.0,100.0
208,PQ,66.0,100.0
209,PV,115.0,100.0
210,PQ,115.0,100.0
211,PQ,66.0,100.0
212,PQ,66.0,100.0
213,PQ,66.0,100.0
214,PQ,66.0,100.0
215,PQ,66.0,100.0
216,PQ,66.0,100.0
217,PQ,66.0,100.0
218,PQ,115.0,100.0
219,PV,115.0,100.0
220,PV,230.0,100.0
221,PQ,66.0,100.0
222,PQ,66.0,100.0
223,PQ,66.0,100.0
224,PQ,66.0,100.0
225,PQ,66.0,100.0
226,PV,66.0,100.0
227,PV,115.0,100.0
228,PQ,66.0,100.0
229,PV,66.0,100.0
230,PQ,66.0,100.0
231,PQ,66.0,100.0
232,PQ,66.0,100.0
233,PV,66.0,100.0
234,PQ,115.0,100.0
235,PV,66.0,100.0
236,PV,115.0,100.0
237,PQ,66.0,100.0
238,PQ,115.0,100.0
239,PV,115.0,100.0
240,PV,66.0,100.0
241,PV,66.0,100.0
242,PQ,115.0,100.0
243,PV,115.0,100.0
244,PQ,115.0,100.0
245,PV,115.0,100.0
246,PQ,66.0,100.0
247,PQ,66.0,100.0
248,PV,115.0,100.0
249,PQ,66.0,100.0
250,PQ,66.0,100.0
251,PQ,66.0,100.0
252,PQ,66.0,100.0
253,PV,66.0,100.0
254,PQ,115.0,100.0
255,PQ,66.0,100.0
256,PQ,66.0,100.0
257,PQ,115.0,100.0
258,PV,66.0,100.0
259,PV,66.0,100.0
260,PQ,66.0,100.0
261,PQ,115.0,100.0
262,PV,66.0,100.0
263,PQ,115.0,100.0
264,PQ,66.0,100.0
265,PQ,115.0,100.0
266,PQ,115.0,100.0
267,PQ,115.0,100.0
268,PV,115.0,100.0
269,PV,66.0,100.0
270,PV,66.0,100.0
271,PQ,66.0,100.0
272,PQ,66.0,100.0
273,PQ,66.0,100.0
274,PV,115.0,100.0
275,PQ,115.0,100.0
276,PV,66.0,100.0
277,PQ,115.0,100.0
278,PQ,66.0,100.0
279,PQ,66.0,100.0
280,PQ,115.0,100.0
281,PQ,115.0,100.0
282,PV,115.0,100.0
283,PQ,115.0,100.0
284,PV,66.0,100.0
285,PV,66.0,100.0
286,PV,66.0,100.0
287,PQ,66.0,100.0
288,PV,66.0,100.0
289,PV,66.0,100.0
290,PQ,66.0,100.0
291,PQ,66.0,100.0
292,PQ,230.0,100.0
293,PQ,66.0,100.0
294,PQ,66.0,100.0
295,PV,66.0,100.0
296,PQ,66.0,100.0
297,PQ,66.0,100.0
298,PQ,66.0,100.0
299,PQ,66.0,100.0
300,PV,66.0,100.0
301,PQ,66.0,100.0
302,PV,66.0,100.0
303,PV,230.0,100.0
304,PV,66.0,100.0
305,PQ,230.0,100.0
306,PQ,66.0,100.0
307,PQ,115.0,100.0
308,PV,66.0,100.0
309,PV,115.0,100.0
310,PQ,66.0,100.0
311,PQ,66.0,100.0
312,PQ,66.0,100.0
313,PQ,66.0,100.0
314,PQ,66.0,100.0
315,PQ,66.0,100.0
316,PQ,66.0,100.0
317,PV,66.0,100.0
318,PV,115.0,100.0
319,PV,66.0,100.0
320,PQ,66.0,100.0
321,PQ,66.0,100.0
322,PV,66.0,100.0
323,PQ,66.0,100.0
324,PQ,66.0,100.0
325,PQ,66.0,100.0
326,PV,66.0,100.0
327,PQ,66.0,100.0
328,PQ,66.0,100.0
329,PQ,66.0,100.0
330,PQ,115.0,100.0
331,PQ,115.0,100.0
332,PQ,66.0,100.0
333,PV,66.0,100.0
334,PQ,66.0,100.0
335,PQ,66.0,100.0
336,PQ,66.0,100.0
337,PQ,66.0,100.0
338,PQ,66.0,100.0
339,PV,66.0,100.0
340,PQ,66.0,100.0
341,PV,66.0,100.0
342,PV,66.0,100.0
343,PQ,66.0,100.0
344,PV,66.0,100.0
345,PQ,230.0,100.0
346,PV,66.0,100.0
347,PV,230.0,100.0
348,PV,230.0,100.0
349,PQ,230.0,100.0
350,PV,66.0,100.0
351,PV,66.0,100.0
352,PQ,66.0,100.0
353,PQ,66.0,100.0
354,PV,66.0,100.0
355,PQ,66.0,100.0
356,PQ,66.0,100.0
357,PQ,66.0,100.0
358,PQ,66.0,100.0
359,PQ,66.0,100.0
360,PV,66.0,100.0
361,PQ,115.0,100.0
362,PQ,66.0,100.0
363,PV,230.0,100.0
364,PQ,66.0,100.0
365,PQ,66.0,100.0
366,PQ,66.0,100.0
367,PV,66.0,100.0
368,PQ,66.0,100.0
369,PQ,66.0,100.0
370,PQ,66.0,100.0
371,PV,66.0,100.0
372,PQ,66.0,100.0
373,PQ,66.0,100.0
374,PQ,66.0,100.0
375,PQ,66.0,100.0
376,PQ,66.0,100.0
377,PV,66.0,100.0
378,PQ,66.0,100.0
379,PQ,66.0,100.0
380,PQ,66.0,100.0
381,PQ,66.0,100.0
382,PQ,66.0,100.0
383,PQ,66.0,100.0
384,PV,66.0,100.0
385,PV,66.0,100.0
386,PQ,66.0,100.0
387,PQ,66.0,100.0
388,PQ,66.0,100.0
389,PQ,66.0,100.0
390,PQ,66.0,100.0
391,PQ,66.0,100.0
392,PQ,66.0,100.0
393,PV,66.0,100.0
394,PV,66.0,100.0
395,PQ,66.0,100.0
396,PQ,66.0,100.0
397,PQ,66.0,100.0
398,PQ,66.0,100.0
399,PQ,66.0,100.0
400,PQ,66.0,100.0
401,PV,66.0,100.0
402,PQ,66.0,100.0
403,PQ,66.0,100.0
404,PQ,66.0,100.0
405,PQ,66.0,100.0
406,PQ,66.0,100.0
407,PV,66.0,100.0
408,PQ,66.0,100.0
409,PQ,66.0,100.0
410,PQ,66.0,100.0
411,PQ,66.0,100.0
412,PQ,66.0,100.0
413,PV,66.0,100.0
414,PQ,66.0,100.0
415,PQ,66.0,100.0
416,PQ,66.0,100.0
417,PQ,66.0,100.0
418,PQ,66.0,100.0
419,PQ,66.0,100.0
420,PV,66.0,100.0
421,PQ,66.0,100.0
422,PQ,66.0,100.0
423,PQ,66.0,100.0
424,PQ,66.0,100.0
425,PQ,66.0,100.0
426,PV,66.0,100.0
427,PQ,66.0,100.0
428,PQ,66.0,100.0
429,PQ,66.0,100.0
430,PQ,66.0,100.0
431,PQ,66.0,100.0
432,PQ,66.0,100.0
433,PQ,66.0,100.0
434,PQ,66.0,100.0
435,PQ,66.0,100.0
436,PQ,66.0,100.0
437,PQ,66.0,100.0
438,PQ,66.0,100.0
439,PQ,66.0,100.0
440,PQ,66.0,100.0
441,PQ,66.0,100.0
442,PQ,66.0,100.0
443,PQ,66.0,100.0
444,PQ,230.0,100.0
445,PQ,66.0,100.0
446,PV,66.0,100.0
447,PQ,66.0,100.0
448,PV,66.0,100.0
449,PV,66.0,100.0
450,PQ,66.0,100.0
451,PQ,66.0,100.0
452,PV,66.0,100.0
453,PQ,66.0,100.0
454,PQ,66.0,100.0
455,PQ,66.0,100.0
456,PV,66.0,100.0
457,PQ,66.0,100.0
458,PV,66.0,100.0
459,PQ,66.0,100.0
460,PQ,66.0,100.0
461,PV,66.0,100.0
462,PQ,66.0,100.0
463,PQ,66.0,100.0
464,PQ,66.0,100.0
465,PV,66.0,100.0
466,PQ,66.0,100.0
467,PV,66.0,100.0
468,PV,66.0,100.0
469,PQ,66.0,100.0
470,PQ,66.0,100.0
471,PV,66.0,100.0
472,PQ,66.0,100.0
473,PQ,66.0,100.0
474,PQ,66.0,100.0
475,PV,66.0,100.0
476,PQ,66.0,100.0
477,PQ,66.0,100.0
478,PV,66.0,100.0
479,PQ,66.0,100.0
480,PQ,66.0,100.0
481,PV,66.0,100.0
482,PQ,66.0,100.0
483,PV,66.0,100.0
484,PQ,66.0,100.0
485,PQ,66.0,100.0
486,PQ,66.0,100.0
487,PV,230.0,100.0
488,PQ,66.0,100.0
489,PQ,66.0,100.0
490,PQ,66.0,100.0
491,PV,66.0,100.0
492,PV,66.0,100.0
493,PQ,66.0,100.0
494,PQ,66.0,100.0
495,PQ,66.0,100.0
496,PQ,66.0,100.0
497,PQ,66.0,100.0
498,PQ,66.0,100.0
499,PQ,66.0,100.0
500,PQ,66.0,100.0
501,PQ,66.0,100.0
502,PQ,66.0,100.0
503,PV,66.0,100.0
504,PQ,66.0,100.0
505,PQ,66.0,100.0
506,PQ,66.0,100.0
507,PQ,66.0,100.0
508,PQ,66.0,100.0
509,PQ,66.0,100.0
510,PQ,66.0,100.0
511,PQ,66.0,100.0
512,PQ,66.0,100.0
513,PQ,66.0,100.0
514,PQ,66.0,100.0
515,PQ,66.0,100.0
516,PQ,66.0,100.0
517,PQ,66.0,100.0
518,PQ,66.0,100.0
519,PV,66.0,100.0
520,PQ,66.0,100.0
521,PQ,66.0,100.0
522,PQ,66.0,100.0
523,PV,66.0,100.0
524,PQ,66.0,100.0
525,PV,66.0,100.0
526,PQ,66.0,100.0
527,PQ,66.0,100.0
528,PQ,66.0,100.0
529,PV,66.0,100.0
530,PQ,66.0,100.0
531,PQ,66.0,100.0
532,PQ,66.0,100.0
533,PQ,66.0,100.0
534,PQ,66.0,100.0
535,PV,66.0,100.0
536,PQ,66.0,100.0
537,PQ,66.0,100.0
538,PQ,66.0,100.0
539,PV,66.0,100.0
540,PQ,66.0,100.0
541,PQ,66.0,100.0
542,PQ,66.0,100.0
543,PV,66.0,100.0
544,PQ,66.0,100.0
545,PV,66.0,100.0
546,PQ,66.0,100.0
547,PQ,66.0,100.0
548,PQ,66.0,100.0
549,PQ,66.0,100.0
550,PQ,66.0,100.0
551,PQ,66.0,100.0
552,PV,66.0,100.0
553,PQ,66.0,100.0
554,PV,66.0,100.0
555,PQ,66.0,100.0
556,PQ,66.0,100.0
557,PV,230.0,100.0
558,PQ,66.0,100.0
559,PV,66.0,100.0
560,PQ,66.0,100.0
561,PQ,66.0,100.0
562,PV,66.0,100.0
563,PQ,66.0,100.0
564,PQ,66.0,100.0
565,PV,66.0,100.0
566,PQ,66.0,100.0
567,PQ,115.0,100.0
568,PQ,66.0,100.0
569,PQ,115.0,100.0
570,PQ,115.0,100.0
571,PQ,66.0,100.0
572,PQ,230.0,100.0
573,PV,66.0,100.0
574,PQ,115.0,100.0
575,PQ,115.0,100.0
576,PV,115.0,100.0
577,PV,66.0,100.0
578,PQ,115.0,100.0
579,PQ,66.0,100.0
580,PQ,66.0,100.0
581,PQ,115.0,100.0
582,PV,66.0,100.0
583,PQ,66.0,100.0
584,PQ,115.0,100.0
585,PQ,66.0,100.0
586,PQ,66.0,100.0
587,PQ,66.0,100.0
588,PQ,66.0,100.0
589,PQ,66.0,100.0
590,PQ,66.0,100.0
591,PQ,66.0,100.0
592,PQ,66.0,100.0
593,PQ,66.0,100.0
594,PQ,66.0,100.0
595,PQ,66.0,100.0
596,PQ,66.0,100.0
597,PQ,66.0,100.0
598,PQ,66.0,100.0
599,PQ,66.0,100.0
600,PQ,115.0,100.0
601,PQ,66.0,100.0
602,PQ,115.0,100.0
603,PV,230.0,100.0
604,PQ,66.0,100.0
605,PQ,115.0,100.0
606,PQ,66.0,100.0
607,PV,66.0,100.0
608,PQ,115.0,100.0
609,PQ,115.0,100.0
610,PV,230.0,100.0
611,PQ,66.0,100.0
612,PQ,66.0,100.0
613,PQ,115.0,100.0
614,PQ,66.0,100.0
615,PV,66.0,100.0
616,PQ,66.0,100.0
617,PQ,66.0,100.0
618,PV,66.0,100.0
619,PQ,115.0,100.0
620,PQ,66.0,100.0
621,PQ,66.0,100.0
622,PQ,66.0,100.0
623,PQ,115.0,100.0
624,PQ,66.0,100.0
625,PQ,66.0,100.0
626,PQ,66.0,100.0
627,PQ,66.0,100.0
628,PQ,115.0,100.0
629,PQ,115.0,100.0
630,PQ,115.0,100.0
631,PV,66.0,100.0
632,PQ,66.0,100.0
633,PV,66.0,100.0
634,PV,66.0,100.0
635,PQ,66.0,100.0
636,PV,115.0,100.0
637,PQ,66.0,100.0
638,PV,66.0,100.0
639,PQ,66.0,100.0
640,PQ,66.0,100.0
641,PQ,66.0,100.0
642,PQ,66.0,100.0
643,PQ,66.0,100.0
644,PQ,66.0,100.0
645,PQ,115.0,100.0
646,PQ,66.0,100.0
647,PQ,66.0,100.0
648,PQ,66.0,100.0
649,PV,66.0,100.0
650,PQ,66.0,100.0
651,PQ,66.0,100.0
652,PQ,115.0,100.0
653,PV,66.0,100.0
654,PQ,66.0,100.0
655,PQ,66.0,100.0
656,PQ,66.0,100.0
657,PQ,66.0,100.0
658,PQ,66.0,100.0
659,PV,115.0,100.0
660,PQ,115.0,100.0
661,PQ,66.0,100.0
662,PV,115.0,100.0
663,PQ,66.0,100.0
664,PQ,66.0,100.0
665,PQ,66.0,100.0
666,PQ,66.0,100.0
667,PQ,66.0,100.0
668,PV,66.0,100.0
669,PQ,66.0,100.0
670,PQ,66.0,100.0
671,PQ,66.0,100.0
672,PQ,66.0,100.0
673,PQ,66.0,100.0
674,PQ,66.0,100.0
675,PQ,66.0,100.0
676,PV,66.0,100.0
677,PV,66.0,100.0
678,PQ,66.0,100.0
679,PQ,66.0,100.0
680,PQ,66.0,100.0
681,PQ,66.0,100.0
682,PQ,66.0,100.0
683,PQ,66.0,100.0
684,PQ,66.0,100.0
685,PQ,66.0,100.0
686,PV,66.0,100.0
687,PQ,66.0,100.0
688,PQ,66.0,100.0
689,PQ,66.0,100.0
690,PQ,66.0,100.0
691,PQ,66.0,100.0
692,PV,66.0,100.0
693,PQ,66.0,100.0
694,PQ,66.0,100.0
695,PQ,66.0,100.0
696,PQ,66.0,100.0
697,PQ,66.0,100.0
698,PV,66.0,100.0
699,PV,66.0,100.0
700,PV,66.0,100.0
701,PQ,66.0,100.0
702,PQ,66.0,100.0
703,PQ,66.0,100.0
704,PQ,66.0,100.0
705,PQ,66.0,100.0
706,PV,66.0,100.0
707,PV,66.0,100.0
708,PQ,66.0,100.0
709,PQ,66.0,100.0
710,PQ,66.0,100.0
711,PQ,66.0,100.0
712,PQ,66.0,100.0
713,PV,66.0,100.0
714,PV,66.0,100.0
715,PV,66.0,100.0
716,PQ,66.0,100.0
717,PQ,66.0,100.0
718,PQ,66.0,100.0
719,PQ,66.0,100.0
720,PQ,66.0,100.0
721,PQ,66.0,100.0
722,PQ,66.0,100.0
723,PQ,66.0,100.0
724,PQ,66.0,100.0
725,PQ,66.0,100.0
726,PQ,66.0,100.0
727,PQ,66.0,100.0
728,PQ,66.0,100.0
729,PQ,66.0,100.0
730,PQ,66.0,100.0
731,PQ,115.0,100.0
732,PQ,115.0,100.0
733,PQ,115.0,100.0
734,PQ,115.0,100.0
735,PQ,66.0,100.0
736,PQ,66.0,100.0
737,PQ,66.0,100.0
738,PQ,66.0,100.0
739,PQ,66.0,100.0
740,PQ,66.0,100.0
741,PQ,66.0,100.0
742,PQ,66.0,100.0
743,PQ,115.0,100.0
744,PV,66.0,100.0
745,PV,115.0,100.0
746,PV,66.0,100.0
747,PQ,66.0,100.0
748,PQ,66.0,100.0
749,PV,66.0,100.0
750,PQ,115.0,100.0
751,PV,66.0,100.0
752,PQ,66.0,100.0
753,PQ,66.0,100.0
754,PQ,66.0,100.0
755,PQ,66.0,100.0
756,PQ,66.0,100.0
757,PQ,66.0,100.0
758,PQ,66.0,100.0
759,PQ,66.0,100.0
760,PQ,66.0,100.0
761,PQ,66.0,100.0
762,PQ,66.0,100.0
763,PQ,66.0,100.0
764,PQ,66.0,100.0
765,PQ,66.0,100.0
766,PQ,66.0,100.0
767,PQ,66.0,100.0
768,PQ,66.0,100.0
769,PQ,66.0,100.0
770,PQ,115.0,100.0
771,PQ,115.0,100.0
772,PQ,115.0,100.0
773,PQ,66.0,100.0
774,PV,115.0,100.0
775,PV,115.0,100.0
776,PQ,115.0,100.0
777,PQ,115.0,100.0
778,PQ,115.0,100.0
779,PV,115.0,100.0
780,PQ,230.0,100.0
781,PV,66.0,100.0
782,PV,115.0,100.0
783,PQ,66.0,100.0
784,PQ,115.0,100.0
785,PQ,115.0,100.0
786,PQ,66.0,100.0
787,PQ,115.0,100.0
788,PQ,66.0,100.0
789,PQ,115.0,100.0
790,PQ,66.0,100.0
791,PQ,66.0,100.0
792,PQ,115.0,100.0
793,PQ,115.0,100.0
794,PQ,115.0,100.0
795,PQ,66.0,100.0
796,PV,115.0,100.0
797,PQ,66.0,100.0
798,PQ,115.0,100.0
799,PV,66.0,100.0
800,PQ,66.0,100.0
801,PQ,115.0,100.0
802,PQ,115.0,100.0
803,PV,115.0,100.0
804,PQ,115.0,100.0
805,PQ,115.0,100.0
806,PV,115.0,100.0
807,PQ,115.0,100.0
808,PQ,66.0,100.0
809,PQ,115.0,100.0
810,PQ,115.0,100.0
811,PQ,115.0,100.0
812,PV,115.0,100.0
813,PQ,115.0,100.0
814,PV,115.0,100.0
815,PQ,115.0,100.0
816,PQ,115.0,100.0
817,PQ,66.0,100.0
818,PV,66.0,100.0
819,PQ,66.0,100.0
820,PQ,66.0,100.0
821,PQ,66.0,100.0
822,PQ,66.0,100.0
823,PQ,66.0,100.0
824,PQ,66.0,100.0
825,PQ,66.0,100.0
826,PQ,66.0,100.0
827,PQ,66.0,100.0
828,PQ,66.0,100.0
829,PQ,66.0,100.0
830,PQ,66.0,100.0
831,PQ,66.0,100.0
832,PQ,66.0,100.0
833,PQ,66.0,100.0
834,PQ,66.0,100.0
835,PQ,66.0,100.0
836,PQ,66.0,100.0
837,PQ,66.0,100.0
838,PV,66.0,100.0
839,PV,66.0,100.0
840,PQ,66.0,100.0
841,PQ,66.0,100.0
842,PQ,66.0,100.0
843,PQ,66.0,100.0
844,PQ,66.0,100.0
845,PQ,115.0,100.0
846,PQ,66.0,100.0
847,PQ,66.0,100.0
848,PQ,66.0,100.0
849,PQ,66.0,100.0
850,PQ,66.0,100.0
851,PQ,66.0,100.0
852,PQ,66.0,100.0
853,PQ,66.0,100.0
854,PQ,66.0,100.0
855,PQ,66.0,100.0
856,PQ,66.0,100.0
857,PQ,66.0,100.0
858,PQ,66.0,100.0
859,PV,66.0,100.0
860,PQ,66.0,100.0
861,PQ,66.0,100.0
862,PQ,66.0,100.0
863,PQ,66.0,100.0
864,PQ,115.0,100.0
865,PQ,66.0,100.0
866,PQ,66.0,100.0
867,PQ,66.0,100.0
868,PQ,66.0,100.0
869,PQ,66.0,100.0
870,PQ,66.0,100.0
871,PQ,66.0,100.0
872,PQ,66.0,100.0
873,PQ,66.0,100.0
874,PQ,66.0,100.0
875,PQ,66.0,100.0
876,PQ,66.0,100.0
877,PV,66.0,100.0
878,PQ,66.0,100.0
879,PQ,66.0,100.0
880,PQ,66.0,100.0
881,PQ,66.0,100.0
882,PQ,66.0,100.0
883,PV,66.0,100.0
884,PQ,66.0,100.0
885,PQ,66.0,100.0
886,PQ,66.0,100.0
887,PQ,66.0,100.0
888,PQ,66.0,100.0
889,PQ,66.0,100.0
890,PQ,66.0,100.0
891,PQ,66.0,100.0
892,PQ,66.0,100.0
893,PV,66.0,100.0
894,PQ,66.0,100.0
895,PQ,66.0,100.0
896,PQ,66.0,100.0
897,PQ,66.0,100.0
898,PQ,66.0,100.0
899,PQ,66.0,100.0
900,PQ,66.0,100.0
901,PQ,66.0,100.0
902,PQ,66.0,100.0
903,PQ,66.0,100.0
904,PQ,66.0,100.0
905,PQ,66.0,100.0
906,PQ,66.0,100.0
907,PQ,230.0,100.0
908,PQ,66.0,100.0
909,PV,66.0,100.0
910,PQ,66.0,100.0
911,PQ,66.0,100.0
912,PQ,66.0,100.0
913,PQ,66.0,100.0
914,PQ,66.0,100.0
915,PV,66.0,100.0
916,PQ,66.0,100.0
917,PV,66.0,100.0
918,PQ,66.0,100.0
919,PQ,66.0,100.0
920,PQ,66.0,100.0
921,PQ,66.0,100.0
922,PQ,66.0,100.0
923,PQ,66.0,100.0
924,PQ,66.0,100.0
925,PQ,66.0,100.0
926,PQ,66.0,100.0
927,PQ,66.0,100.0
928,PQ,66.0,100.0
929,PQ,66.0,100.0
930,PQ,66.0,100.0
931,PQ,66.0,100.0
932,PQ,66.0,100.0
933,PQ,66.0,100.0
934,PQ,66.0,100.0
935,PQ,66.0,100.0
936,PQ,66.0,100.0
937,PQ,66.0,100.0
938,PQ,66.0,100.0
939,PQ,66.0,100.0
940,PQ,66.0,100.0
941,PQ,66.0,100.0
942,PQ,66.0,100.0
943,PQ,66.0,100.0
944,PQ,66.0,100.0
945,PV,66.0,100.0
946,PQ,66.0,100.0
947,PQ,66.0,100.0
948,PQ,66.0,100.0
949,PQ,66.0,100.0
950,PQ,66.0,100.0
951,PQ,66.0,100.0
952,PQ,66.0,100.0
953,PQ,66.0,100.0
954,PQ,66.0,100.0
955,PQ,66.0,100.0
956,PQ,66.0,100.0
957,PV,66.0,100.0
958,PQ,66.0,100.0
959,PQ,66.0,100.0
960,PQ,66.0,100.0
961,PQ,66.0,100.0
962,PQ,230.0,100.0
963,PQ,66.0,100.0
964,PQ,66.0,100.0
965,PQ,66.0,100.0
966,PQ,66.0,100.0
967,PQ,66.0,100.0
968,PQ,66.0,100.0
969,PQ,66.0,100.0
970,PQ,66.0,100.0
971,PQ,66.0,100.0
972,PQ,66.0,100.0
973,PQ,66.0,100.0
974,PV,66.0,100.0
975,PV,66.0,100.0
976,PQ,66.0,100.0
977,PQ,66.0,100.0
978,PQ,66.0,100.0
979,PQ,66.0,100.0
980,PQ,66.0,100.0
981,PQ,66.0,100.0
982,PQ,66.0,100.0
983,PQ,66.0,100.0
984,PQ,66.0,100.0
985,PQ,66.0,100.0
986,PQ,66.0,100.0
987,PQ,66.0,100.0
988,PQ,230.0,100.0
989,PV,66.0,100.0
990,PV,66.0,100.0
991,PQ,66.0,100.0
992,PQ,115.0,100.0
993,PV,115.0,100.0
994,PQ,66.0,100.0
995,PV,66.0,100.0
996,PQ,66.0,100.0
997,PQ,66.0,100.0
998,PV,115.0,100.0
999,PV,66.0,100.0
1000,PV,66.0,100.0
1001,PQ,66.0,100.0
1002,PQ,66.0,100.0
1003,PQ,66.0,100.0
1004,PQ,66.0,100.0
1005,PV,115.0,100.0
1006,PV,66.0,100.0
1007,PQ,66.0,100.0
1008,PQ,66.0,100.0
1009,PQ,66.0,100.0
1010,PQ,66.0,100.0
1011,PQ,66.0,100.0
